Year,Species,Easting,Northing,Age,Sex,Tnights
1,A24,1745697.053,5425169.808,NA,NA,60
1,A24,1745695.305,5425036.785,NA,NA,60
1,A24,1745767.135,5424939.826,NA,NA,60
1,A24,1745757.314,5424842.728,NA,NA,60
1,A24,1745830.86,5424772.945,NA,NA,60
1,A24,1745890.68,5424711.99,NA,NA,60
1,A24,1745757.814,5424517.181,NA,NA,60
1,A24,1745642.115,5424593.473,NA,NA,60
1,A24,1745592.388,5424652.558,NA,NA,60
1,A24,1745448.368,5424665.44,NA,NA,60
1,A24,1746378.117,5425763.207,NA,NA,60
1,A24,1746421.462,5425607.616,NA,NA,60
1,A24,1746452.297,5425454.721,NA,NA,60
1,A24,1746509.915,5425359.263,NA,NA,60
1,A24,1746545.033,5425261.038,NA,NA,60
1,A24,1746376.424,5425213.791,NA,NA,60
1,A24,1746258.85,5425342.776,NA,NA,60
1,A24,1746236.031,5425407.322,NA,NA,60
1,A24,1746292.608,5425476.266,NA,NA,60
1,A24,1745901.461,5424794.296,NA,NA,60
1,A24,1746024.895,5425165.112,NA,NA,60
1,A24,1746329.421,5425773.851,NA,NA,60
1,A24,1746317.132,5425712.567,NA,NA,60
1,A24,1746269.273,5425652.444,NA,NA,60
1,A24,1746230.069,5425589.592,NA,NA,60
1,A24,1746232.455,5425529.234,NA,NA,60
1,A24,1746195.535,5425459.117,NA,NA,60
1,A24,1746195.243,5425390.483,NA,NA,60
1,A24,1746257.278,5425377.017,NA,NA,60
1,A24,1746277.496,5425316.411,NA,NA,60
1,A24,1746221.53,5425281.885,NA,NA,60
1,A24,1746234.55,5425208.985,NA,NA,60
1,A24,1746253.65,5425146.958,NA,NA,60
1,A24,1746213.347,5425104.231,NA,NA,60
1,A24,1746178.192,5425150.81,NA,NA,60
1,A24,1746183.468,5425159.145,NA,NA,60
1,A24,1746121.234,5425204.269,NA,NA,60
1,A24,1746069.19,5425156.557,NA,NA,60
1,A24,1746066.207,5425078.981,NA,NA,60
1,A24,1746024.972,5425048.156,NA,NA,60
1,A24,1745990.41,5425153.476,NA,NA,60
1,A24,1745921.174,5425162.754,NA,NA,60
1,A24,1745857.298,5425113.723,NA,NA,60
1,A24,1745840.446,5425175.26,NA,NA,60
1,A24,1745751.662,5425220.358,NA,NA,60
1,A24,1745690.434,5425207.259,NA,NA,60
1,A24,1745623.959,5425157.946,NA,NA,60
1,A24,1745593.696,5425106.24,NA,NA,60
1,A24,1745619.629,5425038.08,NA,NA,60
1,A24,1745621.968,5424970.949,NA,NA,60
1,A24,1745605.267,5424914.862,NA,NA,60
1,A24,1745551.271,5424865.52,NA,NA,60
1,A24,1745541.002,5424800.196,NA,NA,60
1,A24,1745470.821,5424774.724,NA,NA,60
1,A24,1745424.224,5424726.788,NA,NA,60
1,A24,1745357.221,5424701.03,NA,NA,60
1,A24,1745234.052,5424680.503,NA,NA,60
1,A24,1746136.513,5425135.433,NA,NA,60
1,A24,1746194.308,5425019.537,NA,NA,60
1,A24,1746135.526,5424882.442,NA,NA,60
1,A24,1746068.041,5424770.511,NA,NA,60
1,A24,1746138.618,5424578.388,NA,NA,60
1,A24,1746164.345,5424454.586,NA,NA,60
1,A24,1745961.28,5424508.318,NA,NA,60
1,A24,1745166.497,5424547.464,NA,NA,60
1,A24,1745314.595,5424554.386,NA,NA,60
1,A24,1745420.264,5424549.938,NA,NA,60
1,A24,1745568.776,5424489.763,NA,NA,60
1,A24,1745728.478,5424478.23,NA,NA,60
1,A24,1745588.658,5424366.302,NA,NA,60
1,A24,1745511.647,5424321.531,NA,NA,60
1,A24,1745370.286,5424299.595,NA,NA,60
1,A24,1747030.997,5425728.252,NA,NA,60
1,A24,1747048.412,5425612.167,NA,NA,60
1,A24,1747037.879,5425501.423,NA,NA,60
1,A24,1746987.185,5425326.296,NA,NA,60
1,A24,1746935.252,5425098.103,NA,NA,60
1,A24,1746912.526,5424914.412,NA,NA,60
1,A24,1746655.117,5424935.609,NA,NA,60
1,A24,1746635.153,5425062.518,NA,NA,60
1,A24,1746730.536,5425157.887,NA,NA,60
1,A24,1746836.507,5425950.878,NA,NA,60
1,A24,1746609.248,5425222.867,NA,NA,60
1,A24,1746617.117,5425338.885,NA,NA,60
1,A24,1746632.591,5425466.522,NA,NA,60
1,A24,1746631.155,5425615.271,NA,NA,60
1,A24,1746178.467,5425218.555,NA,NA,60
1,A24,1746196.25,5425286.615,NA,NA,60
1,A24,1746167.298,5425329.403,NA,NA,60
1,A24,1746156.192,5425401.709,NA,NA,60
1,A24,1746175.62,5425472.401,NA,NA,60
1,A24,1746183.988,5425530.321,NA,NA,60
1,A24,1746077.527,5425217.143,NA,NA,60
1,A24,1746294.782,5425854.517,NA,NA,60
1,A24,1746580.947,5427527.268,NA,NA,60
1,DOC200,1746617.321,5427537.199,NA,NA,60
1,VICTOR,1746638.181,5427593.712,NA,NA,60
1,VICTOR,1746685.297,5427645.625,NA,NA,60
