Year,Species,Easting,Northing,Age,Sex,Tnights
1,legholdtrap,2020153.95748511,5643619.86235271,NA,NA,112
1,legholdtrap,2020153.95748511,5644341.77110614,NA,NA,112
1,legholdtrap,2020875.86623855,5644341.77110614,NA,NA,112
1,legholdtrap,2020153.95748511,5645063.67985958,NA,NA,112
1,legholdtrap,2020875.86623855,5645063.67985958,NA,NA,112
1,legholdtrap,2021597.77499199,5645063.67985958,NA,NA,112
1,legholdtrap,2020153.95748511,5645785.58861302,NA,NA,112
1,legholdtrap,2020875.86623855,5645785.58861302,NA,NA,112
1,legholdtrap,2021597.77499199,5645785.58861302,NA,NA,112
1,legholdtrap,2022319.68374542,5645785.58861302,NA,NA,112
1,legholdtrap,2019432.04873168,5646507.49736645,NA,NA,112
1,legholdtrap,2020153.95748511,5646507.49736645,NA,NA,112
1,legholdtrap,2020875.86623855,5646507.49736645,NA,NA,112
1,legholdtrap,2021597.77499199,5646507.49736645,NA,NA,112
1,legholdtrap,2022319.68374542,5646507.49736645,NA,NA,112
1,legholdtrap,2023041.59249886,5646507.49736645,NA,NA,112
1,legholdtrap,2021597.77499199,5647229.40611989,NA,NA,112
1,legholdtrap,2022319.68374542,5647229.40611989,NA,NA,112
1,legholdtrap,2023041.59249886,5647229.40611989,NA,NA,112
1,legholdtrap,2023041.59249886,5647951.31487333,NA,NA,112
1,legholdtrap,2019959.87385713,5647187.51557527,NA,NA,112
1,legholdtrap,2020373.80290239,5647187.51557527,NA,NA,112
1,legholdtrap,2019132.01576661,5647601.44462053,NA,NA,84
1,legholdtrap,2019545.94481187,5647601.44462053,NA,NA,84
1,legholdtrap,2019959.87385713,5647601.44462053,NA,NA,84
1,legholdtrap,2020373.80290239,5647601.44462053,NA,NA,84
1,legholdtrap,2020787.73194765,5647601.44462053,NA,NA,84
1,legholdtrap,2021201.66099291,5647601.44462053,NA,NA,84
1,legholdtrap,2019132.01576661,5648015.37366579,NA,NA,84
1,legholdtrap,2019545.94481187,5648015.37366579,NA,NA,84
1,legholdtrap,2019959.87385713,5648015.37366579,NA,NA,84
1,legholdtrap,2020373.80290239,5648015.37366579,NA,NA,84
1,legholdtrap,2020787.73194765,5648015.37366579,NA,NA,84
1,legholdtrap,2021201.66099291,5648015.37366579,NA,NA,84
1,legholdtrap,2021615.59003817,5648015.37366579,NA,NA,84
1,legholdtrap,2022029.51908343,5648015.37366579,NA,NA,84
1,legholdtrap,2023685.23526447,5648015.37366579,NA,NA,84
1,legholdtrap,2024099.16430973,5648015.37366579,NA,NA,84
1,legholdtrap,2019132.01576661,5648429.30271105,NA,NA,84
1,legholdtrap,2019545.94481187,5648429.30271105,NA,NA,84
1,legholdtrap,2019959.87385713,5648429.30271105,NA,NA,84
1,legholdtrap,2020373.80290239,5648429.30271105,NA,NA,84
1,legholdtrap,2020787.73194765,5648429.30271105,NA,NA,84
1,legholdtrap,2021201.66099291,5648429.30271105,NA,NA,84
1,legholdtrap,2021615.59003817,5648429.30271105,NA,NA,84
1,legholdtrap,2022029.51908343,5648429.30271105,NA,NA,84
1,legholdtrap,2022443.44812869,5648429.30271105,NA,NA,84
1,legholdtrap,2022857.37717395,5648429.30271105,NA,NA,84
1,legholdtrap,2023271.30621921,5648429.30271105,NA,NA,84
1,legholdtrap,2023685.23526447,5648429.30271105,NA,NA,84
1,legholdtrap,2024099.16430973,5648429.30271105,NA,NA,84
1,legholdtrap,2019132.01576661,5648843.23175631,NA,NA,84
1,legholdtrap,2019545.94481187,5648843.23175631,NA,NA,84
1,legholdtrap,2019959.87385713,5648843.23175631,NA,NA,84
1,legholdtrap,2020373.80290239,5648843.23175631,NA,NA,84
