Year,Species,Easting,Northing,Age,Sex,Tnights
1,Camera,1681905.475,5664361.383,1,NA,56
1,Camera,1682618.353,5663826.225,1,NA,56
1,Camera,1683399.292,5663431.836,1,NA,56
1,Camera,1683559.298,5664824.291,1,NA,56
1,Camera,1684210.755,5665540.492,1,NA,56
1,Camera,1683810.503,5662642.313,1,NA,56
1,Camera,1684571.308,5662853.69,1,NA,56
1,Camera,1683374.992,5667982.954,1,NA,56
1,Camera,1683473.575,5667094.37,1,NA,56
1,Camera,1682833.733,5667222.205,1,NA,56
1,Camera,1683169.854,5667889.29,1,NA,56
1,Camera,1683765.256,5664218.352,1,NA,56
1,Camera,1681049.045,5666466.607,1,NA,56
1,Camera,1681663.054,5665581.406,1,NA,56
1,Camera,1682533.425,5665508.858,1,NA,56
1,Camera,1681601.089,5666335.067,1,NA,56
1,Camera,1683021.508,5662062.881,1,NA,56
1,Camera,1682299.916,5662345.168,1,NA,56
1,Camera,1682907.991,5662803.496,1,NA,56
1,Camera,1684569.931,5664384.568,1,NA,56
1,Camera,1684658.915,5663820.08,1,NA,56
1,Camera,1684004.785,5665267.856,1,NA,56
1,Camera,1684015.884,5666181.577,1,NA,56
1,Camera,1684414.998,5666911.425,1,NA,56
1,Camera,1682984.162,5665521.942,1,NA,56
1,Camera,1682891.435,5666427.021,1,NA,56
1,Camera,1683076.575,5665450.434,1,NA,56
1,Camera,1681238.965,5663064.14,1,NA,56
1,Camera,1684283.932,5664258.11,1,NA,56
1,Camera,1683530.783,5666157.227,1,NA,56
1,Camera,1682300.003,5664894.03,1,NA,56
1,Camera,1682353.953,5665898.075,1,NA,56
1,Camera,1681690.403,5663632.212,1,NA,56
1,Camera,1684235.28,5665756.628,1,NA,56
1,Camera,1684536.631,5665097.187,1,NA,56
1,Camera,1684782.602,5662640.239,1,NA,56
1,Camera,1681971.036,5662988.018,1,NA,56
1,Camera,1681981.186,5663842.635,1,NA,56
1,Camera,1683670.97,5662289.997,1,NA,56
1,Camera,1685500.53,5663400.843,1,NA,56
1,Camera,1684815.22,5663680.523,1,NA,56
1,Camera,1683774.421,5664803.168,1,NA,56
1,Camera,1684637.894,5666228.072,1,NA,56
1,Camera,1684437.987,5662314.605,1,NA,56
1,Camera,1685148.461,5662769.662,1,NA,56
1,Camera,1684044.797,5663563.6,1,NA,56
1,Camera,1684035.866,5662387.128,1,NA,56
1,Camera,1683572.374,5663094.31,1,NA,56
1,Camera,1681389.999,5662929.995,1,NA,56
1,Camera,1681805.001,5662825.004,1,NA,56
1,Camera,1680949.998,5663450,1,NA,56
1,Camera,1684497.547,5663330.616,1,NA,56
1,Camera,1681666.708,5663647.48,1,NA,56
1,Camera,1682503.236,5663258.13,1,NA,56
1,Camera,1683069.887,5663356.819,1,NA,56
1,Camera,1684039.996,5663569.996,1,NA,56
1,Camera,1684509.51,5664428.288,1,NA,56
1,Camera,1681315.987,5666660.619,1,NA,56
1,Camera,1682145.001,5667019.999,1,NA,56
1,Camera,1683509.996,5662204.999,1,NA,56
1,Camera,1682983.093,5662040.791,1,NA,56
1,Camera,1685091.286,5663365.354,1,NA,56
1,Camera,1683222.51,5664553.056,1,NA,56
1,Camera,1684550.949,5663968.381,1,NA,56
1,Camera,1684715.241,5665191.991,1,NA,56
1,Camera,1683964.807,5664462.877,1,NA,56
1,Camera,1685698.105,5665492.562,1,NA,56
1,Camera,1685279.999,5665084.995,1,NA,56
1,Camera,1684345.382,5665762.203,1,NA,56
1,Camera,1682451.656,5665843.115,1,NA,56
1,Camera,1685584.109,5666175.89,1,NA,56
1,Camera,1682955.888,5666912.806,1,NA,56
1,Camera,1685024.998,5665800.002,1,NA,56
1,Camera,1683898.449,5664980.966,1,NA,56
1,Camera,1683545.715,5666441.225,1,NA,56
1,Camera,1683287,5665816.843,1,NA,56
1,Camera,1684969.996,5666679.996,1,NA,56
1,Camera,1683120.707,5667717.645,1,NA,56
1,Camera,1682631.709,5667624.146,1,NA,56
1,Camera,1682954.813,5662711.318,1,NA,56
1,Camera,1685156.854,5662777.441,1,NA,56
1,Camera,1684100.002,5662884.996,1,NA,56
1,Camera,1682710,5663988.03,1,NA,56
1,Camera,1685684.997,5664475.001,1,NA,56
1,Camera,1683620.759,5663930.344,1,NA,56
1,Camera,1685184.999,5664495.002,1,NA,56
1,Camera,1681757.814,5665616.744,1,NA,56
1,Camera,1682420.003,5664529.997,1,NA,56
1,Camera,1684674.744,5666294.102,1,NA,56
1,Camera,1681708.149,5666129.976,1,NA,56
1,Camera,1681091.115,5665793.443,1,NA,56
1,Camera,1682830.484,5666121.062,1,NA,56
1,Camera,1684018.574,5666465.713,1,NA,56
1,Camera,1684345.669,5667000.571,1,NA,56
1,Camera,1683636.003,5667182.003,1,NA,56
1,Camera,1682407.736,5662515.217,1,NA,56
1,Camera,1685542.636,5663292.334,1,NA,56
1,Camera,1684700.663,5662621.802,1,NA,56
1,Camera,1682069.169,5664091.421,1,NA,56
1,Camera,1685230.001,5663890.002,1,NA,56
1,Camera,1683334.134,5665040.906,1,NA,56
1,Camera,1682069.999,5665080.004,1,NA,56
1,Camera,1682702.899,5665152.576,1,NA,56
1,Camera,1682130.146,5666500.342,1,NA,56
1,Camera,1682598.187,5666728.84,1,NA,56
1,Camera,1683866.353,5665719.804,1,NA,56
1,Camera,1684252.024,5662186.87,1,NA,56
1,Camera,1684335.119,5662241.635,1,NA,56
1,Camera,1684417.275,5662298.968,1,NA,56
1,Camera,1684486.77,5662355.052,1,NA,56
1,Camera,1683717.12,5662308.739,1,NA,56
1,Camera,1683788.428,5662250.785,1,NA,56
1,Camera,1683882.494,5662218.127,1,NA,56
1,Camera,1683465.797,5662389.244,1,NA,56
1,Camera,1682645.996,5662159.803,1,NA,56
1,Camera,1682553.303,5662191.675,1,NA,56
1,Camera,1682461.083,5662200.374,1,NA,56
1,Camera,1682372.323,5662229.422,1,NA,56
1,Camera,1682323.46,5662314.315,1,NA,56
1,Camera,1684637.744,5662567.599,1,NA,56
1,Camera,1683661.622,5662865.529,1,NA,56
1,Camera,1682526.607,5662716.603,1,NA,56
1,Camera,1682588.278,5662793.274,1,NA,56
1,Camera,1685313.706,5662822.075,1,NA,56
1,Camera,1685337.116,5662908.303,1,NA,56
1,Camera,1681620.856,5662555.485,1,NA,56
1,Camera,1682682.475,5662834.542,1,NA,56
1,Camera,1682771.61,5662802.608,1,NA,56
1,Camera,1683617.707,5662955.827,1,NA,56
1,Camera,1683603.546,5662834.776,1,NA,56
1,Camera,1683510.371,5662870,1,NA,56
1,Camera,1681373.976,5662974.106,1,NA,56
1,Camera,1681424.652,5662890.349,1,NA,56
1,Camera,1681244.987,5663047.538,1,NA,56
1,Camera,1681229.998,5663145.346,1,NA,56
1,Camera,1684351.812,5663224.864,1,NA,56
1,Camera,1684017.216,5662196.133,1,NA,56
1,Camera,1684239.11,5662153.023,1,NA,56
1,Camera,1684121.36,5662322.719,1,NA,56
1,Camera,1684182.622,5662400.24,1,NA,56
1,Camera,1684225.003,5662490.235,1,NA,56
1,Camera,1683226.259,5662190.452,1,NA,56
1,Camera,1683152.436,5662119.329,1,NA,56
1,Camera,1683069.326,5662070,1,NA,56
1,Camera,1682991.135,5662041.866,1,NA,56
1,Camera,1684555.597,5662359.4,1,NA,56
1,Camera,1682228.531,5662502.133,1,NA,56
1,Camera,1682153.474,5662540.971,1,NA,56
1,Camera,1682093.912,5662607.506,1,NA,56
1,Camera,1683810.623,5662503.124,1,NA,56
1,Camera,1684699.2,5662776.975,1,NA,56
1,Camera,1682500.855,5662589.998,1,NA,56
1,Camera,1684800.92,5662650.892,1,NA,56
1,Camera,1684888.608,5662696.697,1,NA,56
1,Camera,1684980.452,5662730.753,1,NA,56
1,Camera,1681745.849,5662775.848,1,NA,56
1,Camera,1681815.391,5662845.394,1,NA,56
1,Camera,1681873.445,5662921.719,1,NA,56
1,Camera,1681445.9,5662756.063,1,NA,56
1,Camera,1683087.246,5662541.021,1,NA,56
1,Camera,1683175.036,5662494.707,1,NA,56
1,Camera,1683246.377,5662440.826,1,NA,56
1,Camera,1683334.175,5662382.771,1,NA,56
1,Camera,1683402.35,5662364.179,1,NA,56
1,Camera,1681872.489,5662982.506,1,NA,56
1,Camera,1685235.373,5663019.26,1,NA,56
1,Camera,1685167.114,5663073.224,1,NA,56
1,Camera,1685404.288,5662990.959,1,NA,56
1,Camera,1685465.376,5663065.735,1,NA,56
1,Camera,1685499.331,5663402.062,1,NA,56
1,Camera,1683580.67,5663074.076,1,NA,56
1,Camera,1683554.142,5663169.414,1,NA,56
1,Camera,1683538.358,5663267.827,1,NA,56
1,Camera,1683498.549,5663346.755,1,NA,56
1,Camera,1684104.781,5662911.183,1,NA,56
1,Camera,1684517.245,5663005.511,1,NA,56
1,Camera,1684556.984,5662904.805,1,NA,56
1,Camera,1684584.893,5662822.007,1,NA,56
1,Camera,1684645.528,5662797.382,1,NA,56
1,Camera,1682029.999,5663244.902,1,NA,56
1,Camera,1682073.367,5663330.84,1,NA,56
1,Camera,1682037.964,5663411.931,1,NA,56
1,Camera,1681969.558,5663478.054,1,NA,56
1,Camera,1682094.611,5663645.382,1,NA,56
1,Camera,1682066.856,5663737.59,1,NA,56
1,Camera,1682013.324,5663813.187,1,NA,56
